run	year	tschg	area
5	19	13	8900
5	19	14	4300
5	19	15	3700
5	19	16	1600
5	19	17	3200
5	19	18	2200
5	19	19	3900
5	19	69	496100
5	19	NA	474400
5	20	2	9600
5	20	3	1600
5	20	4	900
5	20	5	4400
5	20	6	4500
5	20	7	2900
5	20	8	4100
5	20	9	5500
5	20	10	7000
5	20	11	9300
5	20	12	4000
5	20	13	3000
5	20	14	8800
5	20	15	4200
5	20	16	3700
5	20	17	1600
5	20	18	3200
5	20	19	2200
5	20	20	3900
5	20	70	495000
5	20	NA	473300
6	1	51	537100
6	1	NA	515600
6	2	2	2700
6	2	52	536100
6	2	NA	514700
6	3	2	1900
6	3	3	2700
6	3	53	535300
6	3	NA	514200
6	4	2	1300
6	4	3	1900
6	4	4	2700
6	4	54	533200
6	4	NA	512100
6	5	2	4200
6	5	3	1300
6	5	4	1900
6	5	5	2700
6	5	55	532100
6	5	NA	511900
6	6	2	1300
6	6	3	4200
6	6	4	1300
6	6	5	1900
6	6	6	2700
6	6	56	531500
6	6	NA	511200
6	7	2	1300
6	7	3	1300
6	7	4	4100
6	7	5	1300
6	7	6	1900
6	7	7	2700
6	7	57	530100
6	7	NA	508900
6	8	2	3800
6	8	3	1300
6	8	4	1200
6	8	5	4100
6	8	6	1300
6	8	7	1900
6	8	8	2700
6	8	58	523300
6	8	NA	503700
6	9	2	11900
6	9	3	3800
6	9	4	1300
6	9	5	1200
6	9	6	4100
6	9	7	1300
6	9	8	1900
6	9	9	2700
6	9	59	520800
6	9	NA	502300
6	10	2	4100
6	10	3	11900
6	10	4	3800
6	10	5	1300
6	10	6	1200
6	10	7	4100
6	10	8	1300
6	10	9	1900
6	10	10	2700
6	10	60	519600
6	10	NA	501400
6	11	2	2100
6	11	3	4100
6	11	4	11900
6	11	5	3800
6	11	6	1300
6	11	7	1200
6	11	8	4100
6	11	9	1300
6	11	10	1900
6	11	11	2700
6	11	61	517700
6	11	NA	499900
6	12	2	3400
6	12	3	1900
6	12	4	4100
6	12	5	11700
6	12	6	3600
6	12	7	1300
6	12	8	1100
6	12	9	4100
6	12	10	1300
6	12	11	1900
6	12	12	2600
6	12	62	507100
6	12	NA	490300
6	13	2	20600
6	13	3	3400
6	13	4	1900
6	13	5	4100
6	13	6	11500
6	13	7	3500
6	13	8	1300
6	13	9	1100
6	13	10	4100
6	13	11	1300
6	13	12	1800
6	13	13	2600
6	13	63	504100
6	13	NA	488200
6	14	2	5900
6	14	3	20600
6	14	4	3400
6	14	5	1900
6	14	6	4100
6	14	7	11500
6	14	8	3500
6	14	9	1300
6	14	10	1100
6	14	11	4100
6	14	12	1300
6	14	13	1800
6	14	14	2600
6	14	64	502900
6	14	NA	487000
6	15	2	2400
6	15	3	5900
6	15	4	20600
6	15	5	3400
6	15	6	1900
6	15	7	4100
6	15	8	11500
6	15	9	3500
6	15	10	1300
6	15	11	1100
6	15	12	4100
6	15	13	1300
6	15	14	1800
6	15	15	2600
6	15	65	502100
6	15	NA	486500
6	16	2	1300
6	16	3	2400
6	16	4	5900
6	16	5	20600
6	16	6	3400
6	16	7	1900
6	16	8	4100
6	16	9	11400
6	16	10	3500
6	16	11	1300
6	16	12	1100
6	16	13	4100
6	16	14	1200
6	16	15	1800
6	16	16	2600
6	16	66	500700
6	16	NA	484500
6	17	2	3600
6	17	3	1300
6	17	4	2400
6	17	5	5900
6	17	6	20600
6	17	7	3400
6	17	8	1900
6	17	9	4100
6	17	10	11400
6	17	11	3500
6	17	12	1300
6	17	13	1100
6	17	14	4100
6	17	15	1200
6	17	16	1800
6	17	17	2600
6	17	67	499300
6	17	NA	483100
6	18	2	2800
6	18	3	3600
6	18	4	1300
6	18	5	2400
6	18	6	5900
6	18	7	20600
6	18	8	3400
6	18	9	1900
6	18	10	4100
6	18	11	11400
6	18	12	3500
6	18	13	1300
6	18	14	1100
6	18	15	4100
6	18	16	1200
6	18	17	1800
6	18	18	2600
6	18	68	498800
6	18	NA	482000
6	19	2	1600
6	19	3	2800
6	19	4	3600
6	19	5	1300
6	19	6	2400
6	19	7	5900
6	19	8	20500
6	19	9	3400
6	19	10	1900
6	19	11	4100
6	19	12	11400
6	19	13	3500
6	19	14	1300
6	19	15	1100
6	19	16	4100
6	19	17	1200
6	19	18	1800
6	19	19	2600
6	19	69	497000
6	19	NA	480800
6	20	2	3000
6	20	3	1600
6	20	4	2800
6	20	5	3600
6	20	6	1300
6	20	7	2400
6	20	8	5900
6	20	9	20300
6	20	10	3400
6	20	11	1900
6	20	12	4100
6	20	13	11400
6	20	14	3500
6	20	15	1300
6	20	16	1100
6	20	17	3900
6	20	18	1200
6	20	19	1800
6	20	20	2600
6	20	70	496100
6	20	NA	479300
7	1	51	537100
7	1	NA	516400
7	2	2	1900
7	2	52	536100
7	2	NA	515700
7	3	2	1700
7	3	3	1900
7	3	53	533800
7	3	NA	514600
7	4	2	3300
7	4	3	1600
7	4	4	1700
7	4	54	522400
7	4	NA	504300
7	5	2	21800
7	5	3	3200
7	5	4	1600
7	5	5	1700
7	5	55	516900
7	5	NA	498600
7	6	2	11600
7	6	3	21800
7	6	4	3200
7	6	5	1600
7	6	6	1700
7	6	56	513000
7	6	NA	493800
7	7	2	8700
7	7	3	11300
7	7	4	21300
7	7	5	3200
7	7	6	1600
7	7	7	1700
7	7	57	508200
7	7	NA	490500
7	8	2	8800
7	8	3	8600
7	8	4	11200
7	8	5	21000
7	8	6	3200
7	8	7	1600
7	8	8	1600
7	8	58	504300
7	8	NA	486700
7	9	2	8400
7	9	3	8800
7	9	4	8600
7	9	5	11200
7	9	6	21000
7	9	7	3200
7	9	8	1600
7	9	9	1600
7	9	59	503200
7	9	NA	485200
7	10	2	2600
7	10	3	8400
7	10	4	8700
7	10	5	8600
7	10	6	11100
7	10	7	21000
7	10	8	3200
7	10	9	1600
7	10	10	1600
7	10	60	502200
7	10	NA	483700
7	11	2	2700
7	11	3	2600
7	11	4	8100
7	11	5	8600
7	11	6	8600
7	11	7	11000
7	11	8	20700
7	11	9	3100
7	11	10	1600
7	11	11	1500
7	11	61	493100
7	11	NA	473100
7	12	2	20600
7	12	3	2700
7	12	4	2600
7	12	5	8000
7	12	6	8600
7	12	7	8600
7	12	8	11000
7	12	9	20500
7	12	10	3000
7	12	11	1600
7	12	12	1400
7	12	62	490600
7	12	NA	471300
7	13	2	4900
7	13	3	20500
7	13	4	2700
7	13	5	2600
7	13	6	8000
7	13	7	8600
7	13	8	8600
7	13	9	11000
7	13	10	20500
7	13	11	3000
7	13	12	1600
7	13	13	1400
7	13	63	489100
7	13	NA	469700
7	14	2	3100
7	14	3	4900
7	14	4	20200
7	14	5	2700
7	14	6	2500
7	14	7	8000
7	14	8	8500
7	14	9	8500
7	14	10	10900
7	14	11	20300
7	14	12	3000
7	14	13	1600
7	14	14	1400
7	14	64	483800
7	14	NA	465500
7	15	2	10500
7	15	3	3100
7	15	4	4900
7	15	5	20200
7	15	6	2700
7	15	7	2500
7	15	8	8000
7	15	9	8500
7	15	10	8500
7	15	11	10800
7	15	12	20300
7	15	13	3000
7	15	14	1600
7	15	15	1300
7	15	65	481500
7	15	NA	463300
7	16	2	4700
7	16	3	10500
7	16	4	3100
7	16	5	4900
7	16	6	20200
7	16	7	2700
7	16	8	2500
7	16	9	8000
7	16	10	8500
7	16	11	8200
7	16	12	10600
7	16	13	20300
7	16	14	3000
7	16	15	1600
7	16	16	1300
7	16	66	477700
7	16	NA	460700
7	17	2	6700
7	17	3	4700
7	17	4	10300
7	17	5	3000
7	17	6	4900
7	17	7	20000
7	17	8	2700
7	17	9	2500
7	17	10	8000
