run	year	tschg	area
6	6	56	443900
6	6	NA	488900
6	7	1	4200
6	7	2	37900
6	7	3	37800
6	7	4	5700
6	7	5	8700
6	7	6	11200
6	7	7	21000
6	7	57	440600
6	7	NA	488300
6	8	1	5100
6	8	2	4200
6	8	3	37700
6	8	4	37700
6	8	5	5700
6	8	6	8600
6	8	7	11200
6	8	8	20900
6	8	58	437400
6	8	NA	486900
6	9	1	1200
6	9	2	5100
6	9	3	4200
6	9	4	37600
6	9	5	37700
6	9	6	5700
6	9	7	8600
6	9	8	11200
6	9	9	20900
6	9	59	436500
6	9	NA	486700
6	10	1	1400
6	10	2	1200
6	10	3	5100
6	10	4	4200
6	10	5	37600
6	10	6	37600
6	10	7	5700
6	10	8	8600
6	10	9	11200
6	10	10	20800
6	10	60	435700
6	10	NA	486300
6	11	1	3300
6	11	2	1400
6	11	3	1200
6	11	4	5100
6	11	5	4200
6	11	6	37600
6	11	7	37500
6	11	8	5700
6	11	9	8600
6	11	10	11200
6	11	11	20800
6	11	61	433500
6	11	NA	485300
6	12	1	3400
6	12	2	3300
6	12	3	1400
6	12	4	1200
6	12	5	5100
6	12	6	4100
6	12	7	37300
6	12	8	37500
6	12	9	5700
6	12	10	8600
6	12	11	11200
6	12	12	20700
6	12	62	431500
6	12	NA	484400
6	13	1	4500
6	13	2	3400
6	13	3	3300
6	13	4	1400
6	13	5	1200
6	13	6	5100
6	13	7	4000
6	13	8	37300
6	13	9	37500
6	13	10	5300
6	13	11	8500
6	13	12	11100
6	13	13	20700
6	13	63	428900
6	13	NA	483200
6	14	1	8100
6	14	2	4500
6	14	3	3400
6	14	4	3200
6	14	5	1400
6	14	6	1100
6	14	7	5100
6	14	8	4000
6	14	9	37300
6	14	10	37300
6	14	11	5300
6	14	12	8500
6	14	13	11100
6	14	14	20500
6	14	64	423700
6	14	NA	480900
6	15	1	4600
6	15	2	8000
6	15	3	4500
6	15	4	3400
6	15	5	3000
6	15	6	1400
6	15	7	1100
6	15	8	5100
6	15	9	4000
6	15	10	37100
6	15	11	37200
6	15	12	5200
6	15	13	8500
6	15	14	11100
6	15	15	20400
6	15	65	421200
6	15	NA	479600
6	16	1	2900
6	16	2	4600
6	16	3	7800
6	16	4	4500
6	16	5	3300
6	16	6	3000
6	16	7	1300
6	16	8	1100
6	16	9	5000
6	16	10	4000
6	16	11	37100
6	16	12	37100
6	16	13	5000
6	16	14	8500
6	16	15	11100
6	16	16	20400
6	16	66	419200
6	16	NA	479500
6	17	1	19800
6	17	2	2900
6	17	3	4500
6	17	4	7400
6	17	5	4200
6	17	6	2900
6	17	7	2700
6	17	8	1300
6	17	9	1100
6	17	10	4900
6	17	11	4000
6	17	12	37000
6	17	13	36500
6	17	14	4700
6	17	15	7900
6	17	16	10500
6	17	17	20200
6	17	67	406200
6	17	NA	476700
6	18	1	1200
6	18	2	19800
6	18	3	2900
6	18	4	4500
6	18	5	7400
6	18	6	4200
6	18	7	2900
6	18	8	2700
6	18	9	1300
6	18	10	1100
6	18	11	4900
6	18	12	4000
6	18	13	37000
6	18	14	36500
6	18	15	4600
6	18	16	7900
6	18	17	10500
6	18	18	20200
6	18	68	405200
6	18	NA	476600
6	19	1	3700
6	19	2	1200
6	19	3	19800
6	19	4	2900
6	19	5	4400
6	19	6	7300
6	19	7	4200
6	19	8	2800
6	19	9	2700
6	19	10	1200
6	19	11	1100
6	19	12	4900
6	19	13	4000
6	19	14	36800
6	19	15	36200
6	19	16	4600
6	19	17	7900
6	19	18	10400
6	19	19	20100
6	19	69	403400
6	19	NA	475800
6	20	1	14200
6	20	2	3700
6	20	3	1100
6	20	4	18600
6	20	5	2900
6	20	6	4300
6	20	7	7300
6	20	8	4200
6	20	9	2600
6	20	10	2700
6	20	11	1200
6	20	12	1100
6	20	13	4800
6	20	14	4000
6	20	15	36600
6	20	16	35500
6	20	17	4500
6	20	18	7900
6	20	19	10200
6	20	20	19900
6	20	70	395300
6	20	NA	472800
7	0	50	538300
7	0	NA	517100
7	1	1	2000
7	1	51	536900
7	1	NA	516500
7	2	1	6300
7	2	2	2000
7	2	52	532200
7	2	NA	514900
7	3	1	19400
7	3	2	6300
7	3	3	2000
7	3	53	517600
7	3	NA	510100
7	4	1	4600
7	4	2	18900
7	4	3	6200
7	4	4	2000
7	4	54	514100
7	4	NA	509600
7	5	1	19900
7	5	2	4300
7	5	3	17300
7	5	4	6100
